Gene,P01,P02,P03,P11,P12,P13,P61,P62,P63,P71,P72,P73
ENSG00000000003.15,1233,1170,1730,1737,1904,1456,1694,1849,1513,1524,1608,1655
ENSG00000000005.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419.13,1337,1124,1279,1317,1313,1126,1753,1842,1691,1444,1369,1733
ENSG00000000457.14,196,153,248,217,232,198,280,328,260,159,162,207
ENSG00000000460.17,288,189,288,279,330,245,462,480,322,279,217,233
ENSG00000000938.13,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000000971.16,170,117,221,74,113,101,165,168,125,66,66,55
ENSG00000001036.14,2373,1665,1693,3814,3647,3187,2401,2853,2662,3189,3116,3788
ENSG00000001084.13,4276,3429,4055,3888,4290,3576,4394,5737,4816,6089,6276,7226
ENSG00000001167.14,978,769,905,1205,1253,1052,1089,1485,1086,1232,1161,1383
ENSG00000001460.18,143,97,65,99,97,90,91,67,82,72,117,105
ENSG00000001461.17,580,410,465,663,627,541,540,635,578,429,500,664
ENSG00000001497.18,1258,878,782,1014,859,826,1148,1217,1179,938,1139,1095
ENSG00000001561.7,726,617,1155,1024,1567,939,1047,1407,939,1111,828,1080
ENSG00000001617.12,4107,3103,2176,4891,4003,3647,4870,3717,4686,5312,6370,5868
ENSG00000001626.16,1,0,0,0,0,0,0,0,5,0,0,0
ENSG00000001629.10,2095,1686,2316,1791,2231,1969,2338,3349,2237,1520,1400,1717
ENSG00000001630.17,73,41,8,39,25,42,19,47,19,62,57,63
ENSG00000001631.16,219,116,83,164,184,141,155,155,179,143,146,146
ENSG00000002016.18,422,331,312,537,644,455,473,539,444,442,459,494
ENSG00000002079.14,35,38,12,19,12,19,7,64,18,8,39,30
ENSG00000002330.14,1523,896,505,1145,702,593,927,428,1095,1047,1354,1610
ENSG00000002549.13,1535,1125,1204,974,933,755,1602,1714,1920,891,978,1298
ENSG00000002586.20,0,1,0,0,0,0,0,0,0,0,1,0
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002587.10,15,22,1,33,14,18,22,13,18,17,42,39
ENSG00000002726.21,34,19,22,58,44,38,78,66,71,64,90,105
ENSG00000002745.13,5,1,0,13,7,12,15,0,1,5,6,24
ENSG00000002746.15,103,94,108,142,127,148,138,193,131,109,95,90
ENSG00000002822.16,21,22,10,5,22,11,5,42,8,22,1,0
ENSG00000002834.18,4434,3034,1848,3783,2441,2949,3414,2739,3939,3397,4090,4307
ENSG00000002919.15,443,319,308,384,377,305,419,495,488,485,503,650
ENSG00000002933.9,8,0,0,9,5,2,10,0,10,6,5,15
ENSG00000003056.8,2679,1825,1910,2510,1962,2034,2869,2766,2739,2962,2763,3127
ENSG00000003096.14,1041,856,1035,680,738,648,869,1046,813,419,570,505
ENSG00000003137.9,57,42,31,145,122,146,107,198,198,125,191,125
ENSG00000003147.19,418,321,347,529,502,405,436,509,391,439,419,472
ENSG00000003249.15,672,569,319,762,529,505,383,236,342,642,777,755
ENSG00000003393.16,576,477,720,757,786,744,911,1038,696,576,617,638
ENSG00000003400.15,815,712,886,1208,1430,1112,1559,2353,1585,940,1103,1348
ENSG00000003402.20,1044,847,788,953,1016,806,1348,1302,1309,931,916,1023
ENSG00000003436.16,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000003509.16,480,347,463,595,609,530,607,908,627,567,548,697
ENSG00000003756.17,966,829,749,996,907,829,1132,1297,1156,835,797,932
ENSG00000003987.14,221,189,306,309,468,274,399,549,349,289,217,269
ENSG00000003989.18,303,237,413,587,752,607,975,1560,999,582,565,630
ENSG00000004059.11,2147,1509,1343,2224,1915,1503,2161,1267,2007,1824,2318,2158
ENSG00000004139.14,1312,1058,847,1309,1074,1122,1443,1038,1335,1000,1208,1131
ENSG00000004142.12,1813,1210,1101,1659,1194,1120,1817,1309,1767,1538,1845,1875
ENSG00000004399.13,2457,1875,1273,2099,1736,1714,2250,1400,1880,1534,1951,1988
ENSG00000004455.17,2372,1886,2031,2077,1818,1729,1904,1768,1856,1964,1920,2297
ENSG00000004468.13,6,2,12,2,0,0,0,8,2,3,11,0
ENSG00000004478.8,8169,5632,5267,8094,6187,5983,6424,6417,6594,7319,8368,8754
ENSG00000004487.17,4331,3324,3688,3434,3386,2821,2640,3220,2607,2175,2366,2661
ENSG00000004534.15,908,754,646,1020,887,874,1102,1080,1188,1029,903,1109
ENSG00000004660.15,157,94,53,207,172,147,92,96,106,183,206,239
ENSG00000004700.16,583,562,901,886,1223,906,1103,1593,1129,817,776,969
ENSG00000004766.17,527,446,811,718,945,733,814,1155,748,644,545,655
ENSG00000004776.13,14,7,0,4,13,0,0,0,1,2,6,4
ENSG00000004777.18,325,258,66,195,171,150,278,253,312,145,128,127
ENSG00000004779.10,783,540,588,939,938,710,923,819,857,836,958,1150
ENSG00000004799.8,407,336,596,674,832,662,474,548,451,473,407,446
ENSG00000004809.14,11,3,10,25,16,14,3,0,12,5,12,12
ENSG00000004838.14,20,10,5,30,40,56,18,28,17,23,35,16
ENSG00000004846.16,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000004848.8,1,1,0,4,8,5,0,0,1,8,2,22
ENSG00000004864.14,1008,840,1003,910,923,844,1104,1385,1112,938,931,1143
ENSG00000004866.22,391,312,323,556,502,472,486,668,602,533,520,585
ENSG00000004897.12,1874,1507,2244,1762,2132,1998,2912,4034,2747,1604,1517,1891
ENSG00000004939.15,1,1,7,1,0,0,8,18,2,4,3,1
ENSG00000004948.16,10,5,6,12,4,6,10,0,7,2,0,6
ENSG00000004961.15,741,483,501,751,627,449,614,751,590,752,771,787
ENSG00000004975.12,1189,769,455,890,539,602,972,753,906,828,1185,1128
ENSG00000005001.10,100,66,25,143,101,83,89,40,81,129,197,229
ENSG00000005007.13,2973,2090,1482,2930,2287,2231,2280,1972,2504,2646,3140,3166
ENSG00000005020.13,414,325,507,570,564,564,498,753,595,444,450,513
ENSG00000005022.6,10903,7993,10568,13312,11718,9580,16189,16619,15596,12465,13841,15670
ENSG00000005059.16,748,612,733,1055,990,821,1118,1173,984,849,862,947
ENSG00000005073.6,14,10,4,34,16,16,27,13,17,20,28,14
ENSG00000005075.15,1133,555,337,1010,523,442,611,375,794,879,1340,1459
ENSG00000005100.13,558,412,474,474,625,512,583,701,464,438,529,511
ENSG00000005102.14,30,18,17,18,8,11,73,67,61,15,14,50
ENSG00000005108.16,2,2,0,1,1,3,0,0,1,3,3,0
ENSG00000005156.12,505,406,329,413,383,400,643,624,534,345,383,365
ENSG00000005175.10,759,648,796,920,956,784,1085,1322,1018,787,686,980
ENSG00000005187.12,77,70,120,62,88,71,138,86,88,38,38,84
ENSG00000005189.20,78,54,51,73,55,45,105,150,129,50,59,54
ENSG00000005194.15,1130,830,623,1175,1041,810,1141,1182,1188,1110,1308,1263
ENSG00000005206.17,680,475,246,565,407,431,561,276,469,487,611,526
ENSG00000005238.20,139,102,40,205,163,135,100,105,116,220,202,222
ENSG00000005243.10,233,126,135,241,187,142,168,111,140,228,283,264
ENSG00000005249.13,195,104,61,108,125,102,120,202,128,92,130,116
ENSG00000005302.19,468,403,522,739,700,598,625,735,638,459,512,564
ENSG00000005339.15,1679,1479,1078,1305,1424,1231,2252,1752,2008,1120,1157,1222
ENSG00000005379.17,725,566,289,527,366,463,569,403,587,388,528,480
ENSG00000005381.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005421.9,102,91,133,249,270,210,300,285,300,182,177,235
ENSG00000005436.14,1173,917,1464,1246,1646,1246,1590,1621,1372,1037,1070,1124
ENSG00000005448.17,678,419,439,519,395,335,417,468,524,418,570,470
ENSG00000005469.12,321,270,377,479,594,485,380,517,393,425,392,467
ENSG00000005471.19,8,5,24,8,21,7,25,41,8,18,6,20
ENSG00000005483.21,1056,990,1204,1143,1319,1337,1386,1703,1237,955,846,968
ENSG00000005486.17,2269,1664,1283,3436,2972,2393,2927,2585,2794,2988,3694,3706
ENSG00000005513.10,51,27,17,148,164,80,39,16,41,141,217,136
ENSG00000005700.15,859,766,1161,875,1290,1009,1437,1586,1124,797,697,926
ENSG00000005801.18,258,234,274,208,283,188,357,501,327,232,215,267
ENSG00000005810.18,768,725,886,738,1041,866,959,1473,919,603,515,649
ENSG00000005812.11,941,741,1086,940,1261,959,1337,1856,1127,890,815,985
ENSG00000005844.19,0,1,6,0,0,3,4,0,0,0,1,6
ENSG00000005882.12,2000,1561,1068,2348,1895,1771,2676,2195,2490,1872,2229,2714
ENSG00000005884.18,50310,36456,25420,40977,33377,33403,45209,34232,44973,36628,44266,48066
ENSG00000005889.16,909,838,1053,965,1147,928,1154,1355,1087,743,812,831
ENSG00000005893.16,2976,2494,3565,3573,4352,3309,3895,5220,4133,3154,3166,3886
ENSG00000005961.19,225,161,104,177,116,129,135,77,145,91,133,93
ENSG00000005981.13,0,7,0,0,0,0,5,0,3,0,0,0
ENSG00000006007.12,1443,1204,1445,1686,1493,1195,1738,2095,1702,1476,1541,1811
ENSG00000006015.18,714,366,209,655,387,284,365,256,551,542,802,886
ENSG00000006016.11,577,383,355,556,345,382,605,416,506,560,810,866
ENSG00000006025.12,455,315,245,517,509,341,345,242,440,494,577,456
ENSG00000006042.12,76,75,59,232,209,189,208,230,174,223,253,232
ENSG00000006047.13,186,135,91,68,48,69,124,79,101,60,74,73
ENSG00000006059.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006062.18,517,396,259,391,318,262,432,250,364,282,379,347
ENSG00000006071.15,8,13,5,25,16,24,25,17,8,17,13,36
ENSG00000006116.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006118.15,2213,1281,618,1859,1332,1507,1791,788,1767,2180,2505,2861
ENSG00000006125.18,2185,1816,2345,2134,2680,2111,2329,3310,2304,1746,1792,2012
ENSG00000006128.12,22,6,16,21,29,5,15,0,11,10,6,17
ENSG00000006194.10,351,292,228,348,287,292,350,434,315,323,289,326
ENSG00000006210.7,160,93,57,47,74,53,23,36,51,49,28,44
ENSG00000006282.21,676,527,317,651,412,448,585,382,617,573,618,654
ENSG00000006283.18,84,50,69,77,43,32,41,8,85,48,25,42
ENSG00000006327.14,3407,1759,707,2196,1293,1572,1382,558,1449,2866,3602,4078
ENSG00000006377.11,187,128,154,206,179,195,172,112,180,133,151,213
ENSG00000006432.16,615,481,414,528,647,568,625,357,470,609,519,631
ENSG00000006451.8,2611,1877,2924,3153,3254,2851,3121,3532,2801,4696,4630,5630
ENSG00000006453.14,1563,1311,1227,1735,1421,1414,1618,1734,1448,1478,1692,1616
ENSG00000006459.11,91,99,122,233,257,230,117,191,142,217,215,255
ENSG00000006468.14,79,43,43,71,46,63,167,164,168,65,65,81
ENSG00000006530.18,254,171,218,241,182,207,266,248,301,242,265,280
ENSG00000006534.16,3063,2160,1435,2160,1555,1726,2847,1960,2865,1840,2301,2365
ENSG00000006555.11,435,380,387,562,482,432,436,433,422,479,614,725
ENSG00000006576.16,611,570,884,697,850,753,978,1302,842,575,539,628
ENSG00000006606.9,1,2,0,1,0,2,0,0,0,13,4,0
ENSG00000006607.14,627,489,573,656,621,607,495,706,533,500,486,495
ENSG00000006611.17,50,43,37,36,44,41,53,32,55,38,88,66
ENSG00000006625.18,444,345,345,705,363,369,499,267,568,625,625,616
ENSG00000006634.8,511,486,580,424,495,407,804,981,782,396,362,378
ENSG00000006638.13,28,20,16,64,21,26,11,0,34,41,59,81
ENSG00000006652.15,167,122,234,153,233,167,145,119,175,195,180,246
ENSG00000006659.13,0,0,0,0,5,0,0,0,0,0,2,0
ENSG00000006695.12,255,200,133,326,245,225,395,338,396,260,330,423
ENSG00000006704.11,1476,1109,950,1042,842,719,1063,1081,1078,1037,1239,1205
ENSG00000006712.15,2200,1496,942,2084,1248,1664,2042,1672,2297,2092,2260,2452
ENSG00000006715.16,2020,1576,2539,1986,2603,2332,2548,3598,2586,1948,1941,2258
ENSG00000006740.17,589,484,441,454,453,402,715,693,634,471,493,676
ENSG00000006744.19,1163,857,844,1344,1211,1076,1396,1434,1220,1003,1153,1430
ENSG00000006747.15,32,25,28,19,28,25,25,28,40,17,28,10
ENSG00000006756.16,855,555,455,1435,1280,1152,1116,1010,1103,1172,1263,1428
ENSG00000006757.12,375,250,249,363,259,290,364,344,252,302,374,340
ENSG00000006788.14,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006831.10,878,758,710,846,830,888,810,803,818,638,780,717
ENSG00000006837.12,28,13,25,22,2,13,17,24,11,7,22,0
ENSG00000007001.13,1,1,0,0,0,0,0,0,0,4,0,0
ENSG00000007038.11,735,436,425,561,530,347,605,465,488,764,797,974
