"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.10",1779.96076624144,-0.0179489838039694,0.0655306553841158,-0.273902095115016,0.784159861469558,0.923175306371218
"ENSG00000000005.5",0.207420051679474,0.74035321378068,5.26764854491342,0.14054719244616,0.888227668312556,NA
"ENSG00000000419.8",928.476001546475,-0.10659100952077,0.127836781273829,-0.833805485859743,0.404390603493617,0.74349179505097
"ENSG00000000457.9",391.633104850622,-0.170982361434763,0.178695210462532,-0.956837964443447,0.338649046845677,0.699533634155543
"ENSG00000000460.12",620.982144060904,-0.00511644161972437,0.169357449405208,-0.0302109038468255,0.975898852489519,0.992929901798513
"ENSG00000000938.8",0.325405126287646,0,5.26764854485178,0,1,NA
"ENSG00000000971.11",596.833836223582,-0.67716360132873,0.127779048997507,-5.29948850489521,1.16127546849764e-07,5.58447757143767e-06
"ENSG00000001036.9",8041.69046684668,-0.0266164994292008,0.0668830610273791,-0.397955760701579,0.690662796072087,0.88870969072761
"ENSG00000001084.6",6411.04669199546,0.363988160351645,0.204878742951674,1.77660285839171,0.0756336050250525,0.33170706821908
"ENSG00000001167.10",1804.77968273745,-0.0304119993685722,0.276829319313787,-0.109858303462792,0.912521751337306,0.970809043320529
"ENSG00000001460.13",557.147449356513,0.421511726496401,0.0930524062016572,4.52983156161409,5.90307289166232e-06,0.000186477825657115
"ENSG00000001461.12",1300.70488353404,0.337104564403695,0.223341186015868,1.50937035133208,0.131204165438803,0.451706087124014
"ENSG00000001497.12",1671.74024454185,0.135747900582624,0.209213296712239,0.648849297419835,0.516435789746559,0.810032245265716
"ENSG00000001561.6",167.652836940489,0.90800683724111,0.297575635039162,3.05134806188556,0.00227816316235808,0.028571647634225
"ENSG00000001617.7",259.54758945551,-0.0834080351928302,0.138264167219283,-0.603251275224098,0.546341541616031,0.826458793280888
"ENSG00000001626.10",623.795234557267,1.54320155280525,0.309614316537952,4.98427065667065,6.21959682034806e-07,2.53826789154745e-05
"ENSG00000001629.5",2781.00111347727,0.438079087474782,0.32279519906657,1.357142512471,0.174735932710735,0.518473685190037
"ENSG00000001630.11",4145.83460427357,0.182265944347109,0.130079637264351,1.40118736629549,0.1611580512231,0.497340399237444
"ENSG00000001631.10",1307.52683763587,0.169006479718795,0.304232323190223,0.555517829093797,0.578540518551402,0.840425699793755
"ENSG00000002016.12",267.712643703142,0.111124035331109,0.253858249920994,0.437740492442903,0.661574412691348,0.876362485240918
"ENSG00000002330.9",1375.65951154795,-0.465503734828534,0.385266945365224,-1.20826284327935,0.226946175922209,0.588140816246603
"ENSG00000002549.8",1884.49160326589,0.187610636610863,0.101115243762804,1.85541397745092,0.0635371329147053,0.297583966194804
"ENSG00000002586.13",19700.8058667661,-0.276515244755717,0.246100504651317,-1.12358666288593,0.261188416712345,0.62972139427693
"ENSG00000002587.5",102.085991235981,0.329807415245182,0.503939368714505,0.654458523624549,0.512816440432668,0.807762943484948
"ENSG00000002726.15",0.23699755833351,-1.17080095142628,5.26764854489861,-0.222262541140891,0.824109510630717,NA
"ENSG00000002745.8",7.42118681266528,-0.291425951842646,0.766781470148415,-0.380063894588166,0.703897986278958,0.893872346018786
"ENSG00000002746.10",18.4155758399588,1.2663355752207,0.590058841922052,2.14611744668675,0.0318636096698241,0.194216143163316
"ENSG00000002822.11",497.1435023964,0.332634718536373,0.282529244617204,1.17734615043854,0.239057373679689,0.604440255961345
"ENSG00000002834.13",13382.250812014,-0.44516856385105,0.0934652506758106,-4.76293125661366,1.90800854697901e-06,6.90909569769378e-05
"ENSG00000002919.10",956.772970910282,-0.270622667734387,0.122356479013842,-2.21175592756124,0.026983533833511,0.173309808968956
"ENSG00000002933.3",0.198347587027994,2.16662296280755,5.20878055139034,0.415955892445733,0.677442279117826,NA
"ENSG00000003056.3",2771.09687715537,-0.00075945121327467,0.143249381118442,-0.00530160205471839,0.995769953388671,0.999277350712363
"ENSG00000003096.9",25.4693146834607,-0.228728129360654,0.348307711445008,-0.656684080900018,0.511384072447169,0.807223446994799
"ENSG00000003137.4",4453.16305002439,0.834070592509238,0.273275245585649,3.05212640362563,0.00227226391680349,0.0285213509091709
"ENSG00000003147.13",234.539162330804,0.335609055471104,0.232481609102928,1.44359399767625,0.148853214329771,0.478631534567613
"ENSG00000003249.9",2792.98016835822,-0.252671426660539,0.134759821241455,-1.87497597082602,0.0607960293597715,0.289626322640559
"ENSG00000003393.10",1502.20958656274,-0.257834408683972,0.211393826952119,-1.21968750176594,0.222583361283007,0.582497184640106
"ENSG00000003400.10",497.909001839088,-0.385336878765261,0.0996044043437582,-3.86867309035224,0.000109429240968342,0.00230667360201221
"ENSG00000003402.15",4702.13280126074,-0.716165873442358,0.0851934818755915,-8.40634585739997,4.22982608191327e-17,7.8852313378877e-15
"ENSG00000003436.10",7869.78660755495,-0.376136382403573,0.0986967659053619,-3.81103047251054,0.000138388704939278,0.00277512542441314
"ENSG00000003509.11",345.184383481265,0.160018479814897,0.148646857686115,1.0765009251174,0.281703287379896,0.648432871865309
"ENSG00000003756.12",1786.08660241026,-0.238063210879194,0.0801997160443724,-2.96837972278455,0.00299374241120728,0.0353720738726368
"ENSG00000003987.9",61.9822607096889,0.21526287700655,0.282771425637455,0.761261066323375,0.446501150330549,0.771214780906189
"ENSG00000003989.12",5277.91341849108,0.511250279733174,0.336014472888454,1.52151267574386,0.128131232819299,0.446213472225879
"ENSG00000004059.6",5033.77035888766,-0.441072392346754,0.304956668149496,-1.44634447583396,0.148080606956391,0.477713632160606
"ENSG00000004139.9",175.599850099074,0.372170606652206,1.07502273069903,0.346197895192599,NA,NA
"ENSG00000004142.7",3957.59424041227,-0.115324223077825,0.172756522723921,-0.667553509757329,0.504418642117283,0.803178298270765
"ENSG00000004399.8",716.588064215562,0.0779554787984185,0.339962480721279,0.229306124114122,0.818630993932014,0.937409941198158
"ENSG00000004455.12",4814.30156767772,-0.174932092074594,0.142466289450256,-1.22788410331747,0.219490477809842,0.577405263924846
"ENSG00000004468.8",16.5635303743763,-1.41866762034057,0.779470641504193,-1.82003983832268,0.0687529382711021,0.312795832447617
"ENSG00000004478.5",3983.78456377364,0.0401410218288674,0.156085711467721,0.257172943323314,0.797045269818622,0.929014556098896
"ENSG00000004487.11",6728.06952701685,0.117942980776488,0.189459514379129,0.622523398537121,0.533597762948515,0.81974816758591
"ENSG00000004534.10",1471.1925216398,-0.0807414830177533,0.202549906418611,-0.398625131185617,0.690169441224739,0.88844865911633
"ENSG00000004660.10",131.989632125526,-0.119800708419963,0.213090217736885,-0.562206513711894,0.573975323969647,0.838447072839476
"ENSG00000004700.11",1172.70125036175,-0.213554959142539,0.288989142474082,-0.7389722579688,0.459923843254805,0.778574081676599
"ENSG00000004766.11",673.476383179635,-0.127558947211848,0.219387143103456,-0.581433102265682,0.560948592980197,0.832561109534278
"ENSG00000004776.7",7.89817696675427,0.595579731813958,0.712496226464455,0.835905805100667,0.40320789638598,0.742487130060257
"ENSG00000004777.14",454.162610752793,-0.47122838170333,0.177353243677087,-2.65700458550006,0.00788383706671982,0.0724810511362091
"ENSG00000004779.5",2683.3113700945,-0.0842339858546622,0.300238468279964,-0.28055693974603,0.779050247043468,0.921167812286407
"ENSG00000004799.7",107.706389764421,-0.837132068409826,0.340021495102659,-2.46199749270875,0.0138165632629026,0.108872327241278
"ENSG00000004809.9",0.104640046788184,0,5.26764854491342,0,1,NA
"ENSG00000004838.9",8.04617136591033,0.316259849422971,0.761830855941007,0.415131320760603,0.678045772129859,0.883124685742552
"ENSG00000004846.12",86.2853581441655,0.933789870382767,0.193529078823868,4.82506234235018,1.39959481617295e-06,5.24413938566043e-05
"ENSG00000004848.6",1.15838160807806,1.72642681249201,1.99137946016209,0.866950195595312,0.385969298844476,NA
"ENSG00000004864.9",3625.0648684998,0.0455923998635506,0.145043617896697,0.314335787569933,0.753266020125964,0.912398565955559
"ENSG00000004866.14",854.930606625826,-0.113266552812243,0.101312993199883,-1.11798644216124,0.263572783869049,0.631689313810179
"ENSG00000004897.7",2852.34822401661,0.201598186446777,0.180962421986998,1.11403342325547,0.265264848213629,0.633696055181594
"ENSG00000004939.9",35.1467744053706,0.103144897085424,0.305711316783907,0.337393126857426,0.735820565203381,0.906751985801898
"ENSG00000004948.9",28.4318310730597,-0.140930392635545,0.431971166090587,-0.32624953630815,0.744235565297786,0.908910589224862
"ENSG00000004961.10",796.777637588637,0.140666059742898,0.145188104465673,0.968853889652895,0.332618094458556,0.693599358119412
"ENSG00000004975.7",1600.63980425415,-0.00184828371958255,0.0970631778227266,-0.0190420688982407,0.984807545357555,0.995726642275576
"ENSG00000005001.5",69.3991893843164,0.0320765587802761,0.402065440984693,0.079779447598674,0.936412670652885,0.978399621288303
"ENSG00000005007.8",4534.29353899674,0.036297510299703,0.0674977245830771,0.537759021121186,0.590743426333006,0.845839768598881
"ENSG00000005020.8",535.006628983755,-0.426016448841024,0.19524382380824,-2.18197144745248,0.0291116400635592,0.183160735399893
"ENSG00000005022.5",12361.1635577971,-0.261267236796638,0.169418582453125,-1.54214037807173,0.123039484716935,0.436946429733237
"ENSG00000005059.11",379.384577497596,-0.400766905753304,0.147005423764373,-2.72620489428792,0.00640672141167191,0.0626158532791235
"ENSG00000005073.5",109.73596345394,0.256805880027948,0.212112733418327,1.21070468467104,0.22600860633909,0.586883913279494
"ENSG00000005075.11",2656.12593622587,-0.283157111692948,0.326700282580361,-0.866718294384387,0.386096379162082,0.732015907904447
"ENSG00000005100.8",2498.87169907956,0.601462185794572,0.236081384871035,2.54769001004943,0.0108438781492789,0.0918354234739829
"ENSG00000005102.8",1.58926266467021,1.25951100893923,1.7375892423746,0.72486119171524,0.468537191137101,NA
